Date,Description,Amount,MCC,Payment_Method
2024-12-06,"Grocery Stores, Supermarkets",109.15,5411,Debit Card
2024-12-21,"Grocery Stores, Supermarkets",99.79,5411,Debit Card
2024-12-13,"Grocery Stores, Supermarkets",65.62,5411,Bank Transfer
2024-12-11,"Grocery Stores, Supermarkets",108.15,5411,Credit Card
2024-12-07,"Grocery Stores, Supermarkets",159.99,5411,PayPal
2024-12-23,"Grocery Stores, Supermarkets",62.19,5411,Cash
2024-12-22,"Grocery Stores, Supermarkets",74.37,5411,Debit Card
2024-12-14,"Grocery Stores, Supermarkets",94.44,5411,Debit Card
2024-12-09,Service Stations (Fuel),57.48,5541,Debit Card
2024-12-22,Service Stations (Fuel),80.8,5541,Bank Transfer
2024-12-23,Service Stations (Fuel),122.36,5541,Credit Card
2024-12-07,Service Stations (Fuel),96.29,5541,Cash
2024-12-21,"Utilities (Electric, Gas, Water)",211.61,4900,PayPal
2024-12-24,Eating Places and Restaurants,97.13,5812,PayPal
2024-12-20,Eating Places and Restaurants,21.41,5812,Debit Card
2024-12-16,Eating Places and Restaurants,66.28,5812,Cash
2024-12-17,Eating Places and Restaurants,22.27,5812,PayPal
2024-12-18,Eating Places and Restaurants,77.74,5812,PayPal
2024-12-05,Eating Places and Restaurants,75.51,5812,Debit Card
2024-12-11,"Telecommunication Services (Internet, Phone)",76.29,4814,Cash
2024-12-18,Automated Cash Disbursements (ATM Withdrawals),363.7,6011,Cash
2024-12-05,Automated Cash Disbursements (ATM Withdrawals),342.26,6011,Debit Card
2024-12-12,Automated Cash Disbursements (ATM Withdrawals),219.3,6011,Debit Card
2024-12-24,"Streaming Subscriptions (Netflix, Spotify)",20.94,7311,Credit Card
2024-12-18,"Transportation (Public, Ride-Sharing)",16.12,4111,PayPal
2024-12-08,"Transportation (Public, Ride-Sharing)",49.37,4111,Debit Card
2024-12-10,"Transportation (Public, Ride-Sharing)",44.64,4111,Debit Card
2024-12-06,"Transportation (Public, Ride-Sharing)",26.47,4111,PayPal
2024-12-13,"Healthcare (Medical, Pharmacy)",281.01,8099,Credit Card
2024-12-19,"Healthcare (Medical, Pharmacy)",142.97,8099,Bank Transfer
2024-12-21,Automotive Parts and Accessories,222.11,5533,Debit Card
2024-12-01,Gym Membership,77.26,8699,Credit Card
2024-12-12,"Book Stores (Educational, Hobby)",21.67,5942,Debit Card
2024-12-04,"Book Stores (Educational, Hobby)",24.48,5942,Cash
2024-12-19,Rent Payments,1053.46,6513,Bank Transfer
2024-12-13,Wholesale Clubs (Bulk Shopping),181.06,5300,Debit Card
2024-12-09,Wholesale Clubs (Bulk Shopping),290.76,5300,Cash
2024-10-03,"Grocery Stores, Supermarkets",67.61,5411,Bank Transfer
2024-10-04,"Grocery Stores, Supermarkets",154.92,5411,PayPal
2024-10-01,"Grocery Stores, Supermarkets",67.28,5411,PayPal
2024-10-02,"Grocery Stores, Supermarkets",185.43,5411,Bank Transfer
2024-10-26,"Grocery Stores, Supermarkets",50.9,5411,Credit Card
2024-10-07,"Grocery Stores, Supermarkets",139.48,5411,Bank Transfer
2024-10-25,"Grocery Stores, Supermarkets",155.6,5411,Bank Transfer
2024-10-18,"Grocery Stores, Supermarkets",175.77,5411,Credit Card
2024-10-16,Service Stations (Fuel),62.16,5541,Credit Card
2024-10-18,Service Stations (Fuel),85.64,5541,Debit Card
2024-10-03,Service Stations (Fuel),51.58,5541,Debit Card
2024-10-15,Service Stations (Fuel),53.88,5541,Credit Card
2024-10-15,"Utilities (Electric, Gas, Water)",147.05,4900,Credit Card
2024-10-16,Eating Places and Restaurants,68.74,5812,Bank Transfer
2024-10-19,Eating Places and Restaurants,66.7,5812,Debit Card
2024-10-06,Eating Places and Restaurants,53.34,5812,PayPal
2024-10-02,Eating Places and Restaurants,91.15,5812,Cash
2024-10-23,Eating Places and Restaurants,41.06,5812,Cash
2024-10-12,Eating Places and Restaurants,36.84,5812,Credit Card
2024-10-17,"Telecommunication Services (Internet, Phone)",59.51,4814,Cash
2024-10-03,Automated Cash Disbursements (ATM Withdrawals),217.24,6011,Bank Transfer
2024-10-03,Automated Cash Disbursements (ATM Withdrawals),494.65,6011,Credit Card
2024-10-02,Automated Cash Disbursements (ATM Withdrawals),152.75,6011,Cash
2024-10-05,"Streaming Subscriptions (Netflix, Spotify)",22.44,7311,Credit Card
2024-10-02,"Transportation (Public, Ride-Sharing)",23.23,4111,Debit Card
2024-10-15,"Transportation (Public, Ride-Sharing)",40.7,4111,Credit Card
2024-10-01,"Transportation (Public, Ride-Sharing)",29.82,4111,PayPal
2024-10-24,"Transportation (Public, Ride-Sharing)",16.13,4111,Cash
2024-10-10,"Healthcare (Medical, Pharmacy)",61.07,8099,Credit Card
2024-10-22,"Healthcare (Medical, Pharmacy)",246.67,8099,Cash
2024-10-19,Automotive Parts and Accessories,319.45,5533,Bank Transfer
2024-10-18,Gym Membership,38.32,8699,Credit Card
2024-10-12,"Book Stores (Educational, Hobby)",28.53,5942,Debit Card
2024-10-15,"Book Stores (Educational, Hobby)",69.42,5942,Bank Transfer
2024-10-19,Rent Payments,960.11,6513,Credit Card
2024-10-18,Wholesale Clubs (Bulk Shopping),194.29,5300,PayPal
2024-10-12,Wholesale Clubs (Bulk Shopping),377.12,5300,Cash
2024-11-16,"Grocery Stores, Supermarkets",96.08,5411,PayPal
2024-11-23,"Grocery Stores, Supermarkets",126.63,5411,Cash
